COMMON NAME,TECHNICAL NAME,POPULAR NAME,ASSOCIATIONS,LOCATION
birch,betula spp,,cleansing; protection; purification; children,
oak,quercus robur,,defense; thunder; strength; courage; healing; longevity; protection; good fortune,
maple,acer spp,,love; prosperity; life; health; general abundance,
pine,pinus spp,,cleansing; purification; healing; clarity of mind; prosperity; protection from evil,
cedar,thuja occidentalis,,healing; spirituality; purification; protection; protection; prosperity; harmony,
rowan,pyrus aucuparaia; sorbus acucuparia,quicken; hornbeam; witchwood; mountain ash,improving psychic powers; divination; healing; protection from evil; peace; creativity; success; change; transformation,
poplar,populus spp,aspen,prosperity; communication; exorcism; purification,
ash,frexinus excelsior,,water; strength; intellect; willpower; protection; justice; balance; harmony; skill; travel; weather; wisdom,
willow,salix alba,weeping willow,love; tranquility; harmony; protection; healing,
witch hazel,hamamelis virginiana,snapping hazelnut,protection; healing; peace,
honeysuckle,"lonicera caprifolium, lonicera periclymenum",woodbine; hedge-tree,psychic awareness; harmony; healing; prosperity; happiness,
apple,pyrus malus,,love; healing; harmony; longevity,
elder,"sambucus canadensis, sambucus nigra",witchwood,protection; prosperity; healing,
yew,taxus baccata,,spirits; otherworld,
hawthorn,crataegus oxyacantha,may tree; mayflower; thorn; whitethorn; haw,fertility; harmony; happiness; otherworld; protection,
hazel,corylus avellana,,luck; fertility; protection; wish granting,
carnation,dianthus spp,gillyflower,protection; strength; energy; luck; healing,
daffodil,narcissus spp,narcissus; asphodel,luck; fertility; love,
daisy ,chrysanthemum leucanthemum,field daisy; eye of the day,love; hope; innocence; children,
gardenia,gardenia spp,,harmony; healing; love; peace,
geramium,pelargonium spp,,fertility; love; healing; courage; protection,
hyacinth,"muscari racemosum, hyacinthus non-scriptus",,love; happiness; protection,
iris,iris florentina,flags,peace; harmony; love,
jasmin,jasminum spp,jessamine,love; meditation; spirituality; harmony; prosperity,
lavender,lavandula spp,,peace; harmony; tranquility; love; purification; healing,
lilac,syringa vularis,,protection; banishing negative energy,
lily,lilium spp,,protection; eliminating of hexes; rebirth; cycles,
lily of the valley,convallaria magalis,,enhances concentration; enhances mental ability; encourage happiness,
pansy,viola tricolor,Love-in-idleness; johnny-jump-ups,divination; communication; happiness; love,
poppy,papavery rhoeas,corn poppy,tranquility; prosperity; love; sleep; invisibility,
rose,rosa spp,,healing; divination; tranquility; harmony; psychic ability; spirituality; protection,
snapdragon,antirrhinum mahjus,,protection; protection; reflect negative energy,
sunflower,helianthus spp,peruvian marigold,happiness; success; health; welcome; family; fertility,
tulip,tulipa spp,,prosperity; abundance; protection; love; happiness,
violet,viola odorata,sweet violet,peace; hope; harmony; protection; luck; love; sleep; tranquility,
allspice ,pimenta officinalis,pimento; Jamaica pepper,prosperity; energy; love; healing; luck,
angelica,angelica archangelica,archangel; angel’s herb,protection; purification,
basil,ocimum basilicum,sweet basil; St. Joseph’s Wort,prosperity; success; peace; protection; happiness; purification; tranquility; love,
bay,laurus nobilis,sweet bay; sweet laurel,success; wisdom; divination,
chamomile,chamaemelum nobile; matricaria recutita,manzanilla,prosperity; peace; healing; harmony; happiness,
calendula,calendula officinalis,pot marigold,happiness; prosperity; love; psychic powers; harmony,
cinnamon,cinnamomum spp,,success; action; healing; protection; love; energy; prosperity; purification,
caraway,carum carvi,,health; mental ability; protection; fidelity; antitheft,
clove ,syzygium aromaticum,,protection; purification; mental ability; healing,
comfrey,symphytum officinale,boneset; knitbone,health; healing; protection; prosperity,
dill,anethum graveolens,dillweed,good fortune; tranquility; prosperity; protection; lust,
ginger,zingiber officinale,gingerroot,love; finances; success,
marjoram,origanum majorana,winter sweet,happiness; protection; love; joy,
mint,mentha spp,,prosperity; joy; fertility; purification; love; success,
mugwort,artemisia vulgaris,artemisia; sailor’s tobacco,prophetic dreams; divination; relaxation; tranquility; protection; banishing; consecration,
nutmeg,myristica fragrans,,psychic abilities; happiness; love; money; health,
parlsey,petroselinum crispum,,power; strength; lust; purification; prosperity,
rosemary,rosmarinus officinalis,,protection; improving memory; wisdom; health; healing,
sage,salvia spp.,,purification; protection; wisdom; health; long life,
verbena,"verbena officinalis, verbena spp.",vervain; enchanter’s herb; herb of grace; van van,divination; protection; inspiration; abundance; love; peace; tranquility; healing; prosperity; skill in artistic performance; reversal of negative activity,
yarrow,achillea millefolium,milfoil; millefuelle; yarroway; bloodwort,courage; healing; love,
